(R, 1)[0] => [[1, 0], [0, 0]]
(D, 11)[0] => [[226, 138], [226, 138]]
(D, 11)[0] => [[226, 137], [226, 138]]
(D, 11)[0] => [[226, 136], [226, 137]]
(D, 11)[0] => [[226, 135], [226, 136]]
(D, 11)[0] => [[226, 134], [226, 135]]
(D, 11)[0] => [[226, 133], [226, 134]]
(D, 11)[0] => [[226, 132], [226, 133]]
(D, 11)[0] => [[226, 131], [226, 132]]
(D, 11)[0] => [[226, 130], [226, 131]]
(D, 11)[0] => [[226, 129], [226, 130]]
(D, 11)[0] => [[226, 128], [226, 129]]
(R, 11)[0] => [[227, 128], [226, 129]]
(R, 11)[0] => [[228, 128], [227, 128]]
(R, 11)[0] => [[229, 128], [228, 128]]
(R, 11)[0] => [[230, 128], [229, 128]]
(R, 11)[0] => [[231, 128], [230, 128]]
(R, 11)[0] => [[232, 128], [231, 128]]
(R, 11)[0] => [[233, 128], [232, 128]]
(R, 11)[0] => [[234, 128], [233, 128]]
(R, 11)[0] => [[235, 128], [234, 128]]
(R, 11)[0] => [[236, 128], [235, 128]]
(R, 11)[0] => [[237, 128], [236, 128]]
(L, 4)[0] => [[236, 128], [236, 128]]
(L, 4)[0] => [[235, 128], [236, 128]]
(L, 4)[0] => [[234, 128], [235, 128]]
(L, 4)[0] => [[233, 128], [234, 128]]
(R, 10)[0] => [[234, 128], [234, 128]]
(R, 10)[0] => [[235, 128], [234, 128]]
(R, 10)[0] => [[236, 128], [235, 128]]
(R, 10)[0] => [[237, 128], [236, 128]]
(R, 10)[0] => [[238, 128], [237, 128]]
(R, 10)[0] => [[239, 128], [238, 128]]
(R, 10)[0] => [[240, 128], [239, 128]]
(R, 10)[0] => [[241, 128], [240, 128]]
(R, 10)[0] => [[242, 128], [241, 128]]
(R, 10)[0] => [[243, 128], [242, 128]]
(D, 18)[0] => [[243, 127], [242, 128]]
(D, 18)[0] => [[243, 126], [243, 127]]
(D, 18)[0] => [[243, 125], [243, 126]]
(D, 18)[0] => [[243, 124], [243, 125]]
(D, 18)[0] => [[243, 123], [243, 124]]
(D, 18)[0] => [[243, 122], [243, 123]]
(D, 18)[0] => [[243, 121], [243, 122]]
(D, 18)[0] => [[243, 120], [243, 121]]
(D, 18)[0] => [[243, 119], [243, 120]]
(D, 18)[0] => [[243, 118], [243, 119]]
(D, 18)[0] => [[243, 117], [243, 118]]
(D, 18)[0] => [[243, 116], [243, 117]]
(D, 18)[0] => [[243, 115], [243, 116]]
(D, 18)[0] => [[243, 114], [243, 115]]
(D, 18)[0] => [[243, 113], [243, 114]]
(D, 18)[0] => [[243, 112], [243, 113]]
(D, 18)[0] => [[243, 111], [243, 112]]
(D, 18)[0] => [[243, 110], [243, 111]]
(U, 13)[0] => [[243, 111], [243, 111]]
(U, 13)[0] => [[243, 112], [243, 111]]
(U, 13)[0] => [[243, 113], [243, 112]]
(U, 13)[0] => [[243, 114], [243, 113]]
(U, 13)[0] => [[243, 115], [243, 114]]
(U, 13)[0] => [[243, 116], [243, 115]]
(U, 13)[0] => [[243, 117], [243, 116]]
(U, 13)[0] => [[243, 118], [243, 117]]
(U, 13)[0] => [[243, 119], [243, 118]]
(U, 13)[0] => [[243, 120], [243, 119]]
(U, 13)[0] => [[243, 121], [243, 120]]
(U, 13)[0] => [[243, 122], [243, 121]]
(U, 13)[0] => [[243, 123], [243, 122]]
(R, 18)[0] => [[244, 123], [243, 122]]
(R, 18)[0] => [[245, 123], [244, 123]]
(R, 18)[0] => [[246, 123], [245, 123]]
(R, 18)[0] => [[247, 123], [246, 123]]
(R, 18)[0] => [[248, 123], [247, 123]]
(R, 18)[0] => [[249, 123], [248, 123]]
(R, 18)[0] => [[250, 123], [249, 123]]
(R, 18)[0] => [[251, 123], [250, 123]]
(R, 18)[0] => [[252, 123], [251, 123]]
(R, 18)[0] => [[253, 123], [252, 123]]
(R, 18)[0] => [[254, 123], [253, 123]]
(R, 18)[0] => [[255, 123], [254, 123]]
(R, 18)[0] => [[256, 123], [255, 123]]
(R, 18)[0] => [[257, 123], [256, 123]]
(R, 18)[0] => [[258, 123], [257, 123]]
(R, 18)[0] => [[259, 123], [258, 123]]
(R, 18)[0] => [[260, 123], [259, 123]]
(R, 18)[0] => [[261, 123], [260, 123]]
(L, 15)[0] => [[260, 123], [260, 123]]
(L, 15)[0] => [[259, 123], [260, 123]]
(L, 15)[0] => [[258, 123], [259, 123]]
(L, 15)[0] => [[257, 123], [258, 123]]
(L, 15)[0] => [[256, 123], [257, 123]]
(L, 15)[0] => [[255, 123], [256, 123]]
(L, 15)[0] => [[254, 123], [255, 123]]
(L, 15)[0] => [[253, 123], [254, 123]]
(L, 15)[0] => [[252, 123], [253, 123]]
(L, 15)[0] => [[251, 123], [252, 123]]
(L, 15)[0] => [[250, 123], [251, 123]]
(L, 15)[0] => [[249, 123], [250, 123]]
(L, 15)[0] => [[248, 123], [249, 123]]
(L, 15)[0] => [[247, 123], [248, 123]]
(L, 15)[0] => [[246, 123], [247, 123]]
(R, 5)[0] => [[247, 123], [247, 123]]
(R, 5)[0] => [[248, 123], [247, 123]]
(R, 5)[0] => [[249, 123], [248, 123]]
(R, 5)[0] => [[250, 123], [249, 123]]
(R, 5)[0] => [[251, 123], [250, 123]]
(U, 13)[0] => [[251, 124], [250, 123]]
(U, 13)[0] => [[251, 125], [251, 124]]
(U, 13)[0] => [[251, 126], [251, 125]]
(U, 13)[0] => [[251, 127], [251, 126]]
(U, 13)[0] => [[251, 128], [251, 127]]
(U, 13)[0] => [[251, 129], [251, 128]]
(U, 13)[0] => [[251, 130], [251, 129]]
(U, 13)[0] => [[251, 131], [251, 130]]
(U, 13)[0] => [[251, 132], [251, 131]]
(U, 13)[0] => [[251, 133], [251, 132]]
(U, 13)[0] => [[251, 134], [251, 133]]
(U, 13)[0] => [[251, 135], [251, 134]]
(U, 13)[0] => [[251, 136], [251, 135]]
(D, 15)[0] => [[251, 135], [251, 135]]
(D, 15)[0] => [[251, 134], [251, 135]]
(D, 15)[0] => [[251, 133], [251, 134]]
(D, 15)[0] => [[251, 132], [251, 133]]
(D, 15)[0] => [[251, 131], [251, 132]]
(D, 15)[0] => [[251, 130], [251, 131]]
(D, 15)[0] => [[251, 129], [251, 130]]
(D, 15)[0] => [[251, 128], [251, 129]]
(D, 15)[0] => [[251, 127], [251, 128]]
(D, 15)[0] => [[251, 126], [251, 127]]
(D, 15)[0] => [[251, 125], [251, 126]]
(D, 15)[0] => [[251, 124], [251, 125]]
(D, 15)[0] => [[251, 123], [251, 124]]
(D, 15)[0] => [[251, 122], [251, 123]]
(D, 15)[0] => [[251, 121], [251, 122]]
(L, 13)[0] => [[250, 121], [251, 122]]
(L, 13)[0] => [[249, 121], [250, 121]]
(L, 13)[0] => [[248, 121], [249, 121]]
(L, 13)[0] => [[247, 121], [248, 121]]
(L, 13)[0] => [[246, 121], [247, 121]]
(L, 13)[0] => [[245, 121], [246, 121]]
(L, 13)[0] => [[244, 121], [245, 121]]
(L, 13)[0] => [[243, 121], [244, 121]]
(L, 13)[0] => [[242, 121], [243, 121]]
(L, 13)[0] => [[241, 121], [242, 121]]
(L, 13)[0] => [[240, 121], [241, 121]]
(L, 13)[0] => [[239, 121], [240, 121]]
(L, 13)[0] => [[238, 121], [239, 121]]
(D, 9)[0] => [[238, 120], [239, 121]]
(D, 9)[0] => [[238, 119], [238, 120]]
(D, 9)[0] => [[238, 118], [238, 119]]
(D, 9)[0] => [[238, 117], [238, 118]]
(D, 9)[0] => [[238, 116], [238, 117]]
(D, 9)[0] => [[238, 115], [238, 116]]
(D, 9)[0] => [[238, 114], [238, 115]]
(D, 9)[0] => [[238, 113], [238, 114]]
(D, 9)[0] => [[238, 112], [238, 113]]
(R, 8)[0] => [[239, 112], [238, 113]]
(R, 8)[0] => [[240, 112], [239, 112]]
(R, 8)[0] => [[241, 112], [240, 112]]
(R, 8)[0] => [[242, 112], [241, 112]]
(R, 8)[0] => [[243, 112], [242, 112]]
(R, 8)[0] => [[244, 112], [243, 112]]
(R, 8)[0] => [[245, 112], [244, 112]]
(R, 8)[0] => [[246, 112], [245, 112]]
(D, 5)[0] => [[246, 111], [245, 112]]
(D, 5)[0] => [[246, 110], [246, 111]]
(D, 5)[0] => [[246, 109], [246, 110]]
(D, 5)[0] => [[246, 108], [246, 109]]
(D, 5)[0] => [[246, 107], [246, 108]]
(U, 8)[0] => [[246, 108], [246, 108]]
(U, 8)[0] => [[246, 109], [246, 108]]
(U, 8)[0] => [[246, 110], [246, 109]]
(U, 8)[0] => [[246, 111], [246, 110]]
(U, 8)[0] => [[246, 112], [246, 111]]
(U, 8)[0] => [[246, 113], [246, 112]]
(U, 8)[0] => [[246, 114], [246, 113]]
(U, 8)[0] => [[246, 115], [246, 114]]
(R, 13)[0] => [[247, 115], [246, 114]]
(R, 13)[0] => [[248, 115], [247, 115]]
(R, 13)[0] => [[249, 115], [248, 115]]
(R, 13)[0] => [[250, 115], [249, 115]]
(R, 13)[0] => [[251, 115], [250, 115]]
(R, 13)[0] => [[252, 115], [251, 115]]
(R, 13)[0] => [[253, 115], [252, 115]]
(R, 13)[0] => [[254, 115], [253, 115]]
(R, 13)[0] => [[255, 115], [254, 115]]
(R, 13)[0] => [[256, 115], [255, 115]]
(R, 13)[0] => [[257, 115], [256, 115]]
(R, 13)[0] => [[258, 115], [257, 115]]
(R, 13)[0] => [[259, 115], [258, 115]]
(D, 16)[0] => [[259, 114], [258, 115]]
(D, 16)[0] => [[259, 113], [259, 114]]
(D, 16)[0] => [[259, 112], [259, 113]]
(D, 16)[0] => [[259, 111], [259, 112]]
(D, 16)[0] => [[259, 110], [259, 111]]
(D, 16)[0] => [[259, 109], [259, 110]]
(D, 16)[0] => [[259, 108], [259, 109]]
(D, 16)[0] => [[259, 107], [259, 108]]
(D, 16)[0] => [[259, 106], [259, 107]]
(D, 16)[0] => [[259, 105], [259, 106]]
(D, 16)[0] => [[259, 104], [259, 105]]
(D, 16)[0] => [[259, 103], [259, 104]]
(D, 16)[0] => [[259, 102], [259, 103]]
(D, 16)[0] => [[259, 101], [259, 102]]
(D, 16)[0] => [[259, 100], [259, 101]]
(D, 16)[0] => [[259, 99], [259, 100]]
(L, 9)[0] => [[258, 99], [259, 100]]
(L, 9)[0] => [[257, 99], [258, 99]]
(L, 9)[0] => [[256, 99], [257, 99]]
(L, 9)[0] => [[255, 99], [256, 99]]
(L, 9)[0] => [[254, 99], [255, 99]]
(L, 9)[0] => [[253, 99], [254, 99]]
(L, 9)[0] => [[252, 99], [253, 99]]
(L, 9)[0] => [[251, 99], [252, 99]]
(L, 9)[0] => [[250, 99], [251, 99]]
(U, 16)[0] => [[250, 100], [251, 99]]
(U, 16)[0] => [[250, 101], [250, 100]]
(U, 16)[0] => [[250, 102], [250, 101]]
(U, 16)[0] => [[250, 103], [250, 102]]
(U, 16)[0] => [[250, 104], [250, 103]]
(U, 16)[0] => [[250, 105], [250, 104]]
(U, 16)[0] => [[250, 106], [250, 105]]
(U, 16)[0] => [[250, 107], [250, 106]]
(U, 16)[0] => [[250, 108], [250, 107]]
(U, 16)[0] => [[250, 109], [250, 108]]
(U, 16)[0] => [[250, 110], [250, 109]]
(U, 16)[0] => [[250, 111], [250, 110]]
(U, 16)[0] => [[250, 112], [250, 111]]
(U, 16)[0] => [[250, 113], [250, 112]]
(U, 16)[0] => [[250, 114], [250, 113]]
(U, 16)[0] => [[250, 115], [250, 114]]
(L, 12)[0] => [[249, 115], [250, 114]]
(L, 12)[0] => [[248, 115], [249, 115]]
(L, 12)[0] => [[247, 115], [248, 115]]
(L, 12)[0] => [[246, 115], [247, 115]]
(L, 12)[0] => [[245, 115], [246, 115]]
(L, 12)[0] => [[244, 115], [245, 115]]
(L, 12)[0] => [[243, 115], [244, 115]]
(L, 12)[0] => [[242, 115], [243, 115]]
(L, 12)[0] => [[241, 115], [242, 115]]
(L, 12)[0] => [[240, 115], [241, 115]]
(L, 12)[0] => [[239, 115], [240, 115]]
(L, 12)[0] => [[238, 115], [239, 115]]
(U, 17)[0] => [[238, 116], [239, 115]]
(U, 17)[0] => [[238, 117], [238, 116]]
(U, 17)[0] => [[238, 118], [238, 117]]
(U, 17)[0] => [[238, 119], [238, 118]]
(U, 17)[0] => [[238, 120], [238, 119]]
(U, 17)[0] => [[238, 121], [238, 120]]
(U, 17)[0] => [[238, 122], [238, 121]]
(U, 17)[0] => [[238, 123], [238, 122]]
(U, 17)[0] => [[238, 124], [238, 123]]
(U, 17)[0] => [[238, 125], [238, 124]]
(U, 17)[0] => [[238, 126], [238, 125]]
(U, 17)[0] => [[238, 127], [238, 126]]
(U, 17)[0] => [[238, 128], [238, 127]]
(U, 17)[0] => [[238, 129], [238, 128]]
(U, 17)[0] => [[238, 130], [238, 129]]
(U, 17)[0] => [[238, 131], [238, 130]]
(U, 17)[0] => [[238, 132], [238, 131]]
(R, 16)[0] => [[239, 132], [238, 131]]
(R, 16)[0] => [[240, 132], [239, 132]]
(R, 16)[0] => [[241, 132], [240, 132]]
(R, 16)[0] => [[242, 132], [241, 132]]
(R, 16)[0] => [[243, 132], [242, 132]]
(R, 16)[0] => [[244, 132], [243, 132]]
(R, 16)[0] => [[245, 132], [244, 132]]
(R, 16)[0] => [[246, 132], [245, 132]]
(R, 16)[0] => [[247, 132], [246, 132]]
(R, 16)[0] => [[248, 132], [247, 132]]
(R, 16)[0] => [[249, 132], [248, 132]]
(R, 16)[0] => [[250, 132], [249, 132]]
(R, 16)[0] => [[251, 132], [250, 132]]
(R, 16)[0] => [[252, 132], [251, 132]]
(R, 16)[0] => [[253, 132], [252, 132]]
(R, 16)[0] => [[254, 132], [253, 132]]
(D, 16)[0] => [[254, 131], [253, 132]]
(D, 16)[0] => [[254, 130], [254, 131]]
(D, 16)[0] => [[254, 129], [254, 130]]
(D, 16)[0] => [[254, 128], [254, 129]]
(D, 16)[0] => [[254, 127], [254, 128]]
(D, 16)[0] => [[254, 126], [254, 127]]
(D, 16)[0] => [[254, 125], [254, 126]]
(D, 16)[0] => [[254, 124], [254, 125]]
(D, 16)[0] => [[254, 123], [254, 124]]
(D, 16)[0] => [[254, 122], [254, 123]]
(D, 16)[0] => [[254, 121], [254, 122]]
(D, 16)[0] => [[254, 120], [254, 121]]
(D, 16)[0] => [[254, 119], [254, 120]]
(D, 16)[0] => [[254, 118], [254, 119]]
(D, 16)[0] => [[254, 117], [254, 118]]
(D, 16)[0] => [[254, 116], [254, 117]]
(R, 9)[0] => [[255, 116], [254, 117]]
(R, 9)[0] => [[256, 116], [255, 116]]
(R, 9)[0] => [[257, 116], [256, 116]]
(R, 9)[0] => [[258, 116], [257, 116]]
(R, 9)[0] => [[259, 116], [258, 116]]
(R, 9)[0] => [[260, 116], [259, 116]]
(R, 9)[0] => [[261, 116], [260, 116]]
(R, 9)[0] => [[262, 116], [261, 116]]
(R, 9)[0] => [[263, 116], [262, 116]]
(U, 7)[0] => [[263, 117], [262, 116]]
(U, 7)[0] => [[263, 118], [263, 117]]
(U, 7)[0] => [[263, 119], [263, 118]]
(U, 7)[0] => [[263, 120], [263, 119]]
(U, 7)[0] => [[263, 121], [263, 120]]
(U, 7)[0] => [[263, 122], [263, 121]]
(U, 7)[0] => [[263, 123], [263, 122]]
(R, 11)[0] => [[264, 123], [263, 122]]
(R, 11)[0] => [[265, 123], [264, 123]]
(R, 11)[0] => [[266, 123], [265, 123]]
(R, 11)[0] => [[267, 123], [266, 123]]
(R, 11)[0] => [[268, 123], [267, 123]]
(R, 11)[0] => [[269, 123], [268, 123]]
(R, 11)[0] => [[270, 123], [269, 123]]
(R, 11)[0] => [[271, 123], [270, 123]]
(R, 11)[0] => [[272, 123], [271, 123]]
(R, 11)[0] => [[273, 123], [272, 123]]
(R, 11)[0] => [[274, 123], [273, 123]]
(L, 15)[0] => [[273, 123], [273, 123]]
(L, 15)[0] => [[272, 123], [273, 123]]
(L, 15)[0] => [[271, 123], [272, 123]]
(L, 15)[0] => [[270, 123], [271, 123]]
(L, 15)[0] => [[269, 123], [270, 123]]
(L, 15)[0] => [[268, 123], [269, 123]]
(L, 15)[0] => [[267, 123], [268, 123]]
(L, 15)[0] => [[266, 123], [267, 123]]
(L, 15)[0] => [[265, 123], [266, 123]]
(L, 15)[0] => [[264, 123], [265, 123]]
(L, 15)[0] => [[263, 123], [264, 123]]
(L, 15)[0] => [[262, 123], [263, 123]]
(L, 15)[0] => [[261, 123], [262, 123]]
(L, 15)[0] => [[260, 123], [261, 123]]
(L, 15)[0] => [[259, 123], [260, 123]]
(D, 4)[0] => [[259, 122], [260, 123]]
(D, 4)[0] => [[259, 121], [259, 122]]
(D, 4)[0] => [[259, 120], [259, 121]]
(D, 4)[0] => [[259, 119], [259, 120]]
(U, 16)[0] => [[259, 120], [259, 120]]
(U, 16)[0] => [[259, 121], [259, 120]]
(U, 16)[0] => [[259, 122], [259, 121]]
(U, 16)[0] => [[259, 123], [259, 122]]
(U, 16)[0] => [[259, 124], [259, 123]]
(U, 16)[0] => [[259, 125], [259, 124]]
(U, 16)[0] => [[259, 126], [259, 125]]
(U, 16)[0] => [[259, 127], [259, 126]]
(U, 16)[0] => [[259, 128], [259, 127]]
(U, 16)[0] => [[259, 129], [259, 128]]
(U, 16)[0] => [[259, 130], [259, 129]]
(U, 16)[0] => [[259, 131], [259, 130]]
(U, 16)[0] => [[259, 132], [259, 131]]
(U, 16)[0] => [[259, 133], [259, 132]]
(U, 16)[0] => [[259, 134], [259, 133]]
(U, 16)[0] => [[259, 135], [259, 134]]
(R, 2)[0] => [[260, 135], [259, 134]]
(R, 2)[0] => [[261, 135], [260, 135]]
(U, 16)[0] => [[261, 136], [260, 135]]
(U, 16)[0] => [[261, 137], [261, 136]]
(U, 16)[0] => [[261, 138], [261, 137]]
(U, 16)[0] => [[261, 139], [261, 138]]
(U, 16)[0] => [[261, 140], [261, 139]]
(U, 16)[0] => [[261, 141], [261, 140]]
(U, 16)[0] => [[261, 142], [261, 141]]
(U, 16)[0] => [[261, 143], [261, 142]]
(U, 16)[0] => [[261, 144], [261, 143]]
(U, 16)[0] => [[261, 145], [261, 144]]
(U, 16)[0] => [[261, 146], [261, 145]]
(U, 16)[0] => [[261, 147], [261, 146]]
(U, 16)[0] => [[261, 148], [261, 147]]
(U, 16)[0] => [[261, 149], [261, 148]]
(U, 16)[0] => [[261, 150], [261, 149]]
(U, 16)[0] => [[261, 151], [261, 150]]
(R, 13)[0] => [[262, 151], [261, 150]]
(R, 13)[0] => [[263, 151], [262, 151]]
(R, 13)[0] => [[264, 151], [263, 151]]
(R, 13)[0] => [[265, 151], [264, 151]]
(R, 13)[0] => [[266, 151], [265, 151]]
(R, 13)[0] => [[267, 151], [266, 151]]
(R, 13)[0] => [[268, 151], [267, 151]]
(R, 13)[0] => [[269, 151], [268, 151]]
(R, 13)[0] => [[270, 151], [269, 151]]
(R, 13)[0] => [[271, 151], [270, 151]]
(R, 13)[0] => [[272, 151], [271, 151]]
(R, 13)[0] => [[273, 151], [272, 151]]
(R, 13)[0] => [[274, 151], [273, 151]]
(U, 1)[0] => [[274, 152], [273, 151]]
(R, 1)[0] => [[275, 152], [274, 152]]
(L, 4)[0] => [[274, 152], [274, 152]]
(L, 4)[0] => [[273, 152], [274, 152]]
(L, 4)[0] => [[272, 152], [273, 152]]
(L, 4)[0] => [[271, 152], [272, 152]]
(U, 19)[0] => [[271, 153], [272, 152]]
(U, 19)[0] => [[271, 154], [271, 153]]
(U, 19)[0] => [[271, 155], [271, 154]]
(U, 19)[0] => [[271, 156], [271, 155]]
(U, 19)[0] => [[271, 157], [271, 156]]
(U, 19)[0] => [[271, 158], [271, 157]]
(U, 19)[0] => [[271, 159], [271, 158]]
(U, 19)[0] => [[271, 160], [271, 159]]
(U, 19)[0] => [[271, 161], [271, 160]]
(U, 19)[0] => [[271, 162], [271, 161]]
(U, 19)[0] => [[271, 163], [271, 162]]
(U, 19)[0] => [[271, 164], [271, 163]]
(U, 19)[0] => [[271, 165], [271, 164]]
(U, 19)[0] => [[271, 166], [271, 165]]
(U, 19)[0] => [[271, 167], [271, 166]]
(U, 19)[0] => [[271, 168], [271, 167]]
(U, 19)[0] => [[271, 169], [271, 168]]
(U, 19)[0] => [[271, 170], [271, 169]]
(U, 19)[0] => [[271, 171], [271, 170]]
(L, 12)[0] => [[270, 171], [271, 170]]
(L, 12)[0] => [[269, 171], [270, 171]]
(L, 12)[0] => [[268, 171], [269, 171]]
(L, 12)[0] => [[267, 171], [268, 171]]
(L, 12)[0] => [[266, 171], [267, 171]]
(L, 12)[0] => [[265, 171], [266, 171]]
(L, 12)[0] => [[264, 171], [265, 171]]
(L, 12)[0] => [[263, 171], [264, 171]]
(L, 12)[0] => [[262, 171], [263, 171]]
(L, 12)[0] => [[261, 171], [262, 171]]
(L, 12)[0] => [[260, 171], [261, 171]]
(L, 12)[0] => [[259, 171], [260, 171]]
(D, 1)[0] => [[259, 170], [260, 171]]
(L, 12)[0] => [[258, 170], [259, 170]]
(L, 12)[0] => [[257, 170], [258, 170]]
(L, 12)[0] => [[256, 170], [257, 170]]
(L, 12)[0] => [[255, 170], [256, 170]]
(L, 12)[0] => [[254, 170], [255, 170]]
(L, 12)[0] => [[253, 170], [254, 170]]
(L, 12)[0] => [[252, 170], [253, 170]]
(L, 12)[0] => [[251, 170], [252, 170]]
(L, 12)[0] => [[250, 170], [251, 170]]
(L, 12)[0] => [[249, 170], [250, 170]]
(L, 12)[0] => [[248, 170], [249, 170]]
(L, 12)[0] => [[247, 170], [248, 170]]
(R, 15)[0] => [[248, 170], [248, 170]]
(R, 15)[0] => [[249, 170], [248, 170]]
(R, 15)[0] => [[250, 170], [249, 170]]
(R, 15)[0] => [[251, 170], [250, 170]]
(R, 15)[0] => [[252, 170], [251, 170]]
(R, 15)[0] => [[253, 170], [252, 170]]
(R, 15)[0] => [[254, 170], [253, 170]]
(R, 15)[0] => [[255, 170], [254, 170]]
(R, 15)[0] => [[256, 170], [255, 170]]
(R, 15)[0] => [[257, 170], [256, 170]]
(R, 15)[0] => [[258, 170], [257, 170]]
(R, 15)[0] => [[259, 170], [258, 170]]
(R, 15)[0] => [[260, 170], [259, 170]]
(R, 15)[0] => [[261, 170], [260, 170]]
(R, 15)[0] => [[262, 170], [261, 170]]
(U, 6)[0] => [[262, 171], [261, 170]]
(U, 6)[0] => [[262, 172], [262, 171]]
(U, 6)[0] => [[262, 173], [262, 172]]
(U, 6)[0] => [[262, 174], [262, 173]]
(U, 6)[0] => [[262, 175], [262, 174]]
(U, 6)[0] => [[262, 176], [262, 175]]
(R, 16)[0] => [[263, 176], [262, 175]]
(R, 16)[0] => [[264, 176], [263, 176]]
(R, 16)[0] => [[265, 176], [264, 176]]
(R, 16)[0] => [[266, 176], [265, 176]]
(R, 16)[0] => [[267, 176], [266, 176]]
(R, 16)[0] => [[268, 176], [267, 176]]
(R, 16)[0] => [[269, 176], [268, 176]]
(R, 16)[0] => [[270, 176], [269, 176]]
(R, 16)[0] => [[271, 176], [270, 176]]
(R, 16)[0] => [[272, 176], [271, 176]]
(R, 16)[0] => [[273, 176], [272, 176]]
(R, 16)[0] => [[274, 176], [273, 176]]
(R, 16)[0] => [[275, 176], [274, 176]]
(R, 16)[0] => [[276, 176], [275, 176]]
(R, 16)[0] => [[277, 176], [276, 176]]
(R, 16)[0] => [[278, 176], [277, 176]]
(U, 2)[0] => [[278, 177], [277, 176]]
(U, 2)[0] => [[278, 178], [278, 177]]
(D, 8)[0] => [[278, 177], [278, 177]]
(D, 8)[0] => [[278, 176], [278, 177]]
(D, 8)[0] => [[278, 175], [278, 176]]
(D, 8)[0] => [[278, 174], [278, 175]]
(D, 8)[0] => [[278, 173], [278, 174]]
(D, 8)[0] => [[278, 172], [278, 173]]
(D, 8)[0] => [[278, 171], [278, 172]]
(D, 8)[0] => [[278, 170], [278, 171]]
(R, 8)[0] => [[279, 170], [278, 171]]
(R, 8)[0] => [[280, 170], [279, 170]]
(R, 8)[0] => [[281, 170], [280, 170]]
(R, 8)[0] => [[282, 170], [281, 170]]
(R, 8)[0] => [[283, 170], [282, 170]]
(R, 8)[0] => [[284, 170], [283, 170]]
(R, 8)[0] => [[285, 170], [284, 170]]
(R, 8)[0] => [[286, 170], [285, 170]]
(U, 13)[0] => [[286, 171], [285, 170]]
(U, 13)[0] => [[286, 172], [286, 171]]
(U, 13)[0] => [[286, 173], [286, 172]]
(U, 13)[0] => [[286, 174], [286, 173]]
(U, 13)[0] => [[286, 175], [286, 174]]
(U, 13)[0] => [[286, 176], [286, 175]]
(U, 13)[0] => [[286, 177], [286, 176]]
(U, 13)[0] => [[286, 178], [286, 177]]
(U, 13)[0] => [[286, 179], [286, 178]]
(U, 13)[0] => [[286, 180], [286, 179]]
(U, 13)[0] => [[286, 181], [286, 180]]
(U, 13)[0] => [[286, 182], [286, 181]]
(U, 13)[0] => [[286, 183], [286, 182]]
(L, 4)[0] => [[285, 183], [286, 182]]
(L, 4)[0] => [[284, 183], [285, 183]]
(L, 4)[0] => [[283, 183], [284, 183]]
(L, 4)[0] => [[282, 183], [283, 183]]
(R, 11)[0] => [[283, 183], [283, 183]]
(R, 11)[0] => [[284, 183], [283, 183]]
(R, 11)[0] => [[285, 183], [284, 183]]
(R, 11)[0] => [[286, 183], [285, 183]]
(R, 11)[0] => [[287, 183], [286, 183]]
(R, 11)[0] => [[288, 183], [287, 183]]
(R, 11)[0] => [[289, 183], [288, 183]]
(R, 11)[0] => [[290, 183], [289, 183]]
(R, 11)[0] => [[291, 183], [290, 183]]
(R, 11)[0] => [[292, 183], [291, 183]]
(R, 11)[0] => [[293, 183], [292, 183]]
(L, 11)[0] => [[292, 183], [292, 183]]
(L, 11)[0] => [[291, 183], [292, 183]]
(L, 11)[0] => [[290, 183], [291, 183]]
(L, 11)[0] => [[289, 183], [290, 183]]
(L, 11)[0] => [[288, 183], [289, 183]]
(L, 11)[0] => [[287, 183], [288, 183]]
(L, 11)[0] => [[286, 183], [287, 183]]
(L, 11)[0] => [[285, 183], [286, 183]]
(L, 11)[0] => [[284, 183], [285, 183]]
(L, 11)[0] => [[283, 183], [284, 183]]
(L, 11)[0] => [[282, 183], [283, 183]]
(U, 8)[0] => [[282, 184], [283, 183]]
(U, 8)[0] => [[282, 185], [282, 184]]
(U, 8)[0] => [[282, 186], [282, 185]]
(U, 8)[0] => [[282, 187], [282, 186]]
(U, 8)[0] => [[282, 188], [282, 187]]
(U, 8)[0] => [[282, 189], [282, 188]]
(U, 8)[0] => [[282, 190], [282, 189]]
(U, 8)[0] => [[282, 191], [282, 190]]
(L, 1)[0] => [[281, 191], [282, 190]]
(R, 12)[0] => [[282, 191], [282, 190]]
(R, 12)[0] => [[283, 191], [282, 190]]
(R, 12)[0] => [[284, 191], [283, 191]]
(R, 12)[0] => [[285, 191], [284, 191]]
(R, 12)[0] => [[286, 191], [285, 191]]
(R, 12)[0] => [[287, 191], [286, 191]]
(R, 12)[0] => [[288, 191], [287, 191]]
(R, 12)[0] => [[289, 191], [288, 191]]
(R, 12)[0] => [[290, 191], [289, 191]]
(R, 12)[0] => [[291, 191], [290, 191]]
(R, 12)[0] => [[292, 191], [291, 191]]
(R, 12)[0] => [[293, 191], [292, 191]]
(L, 8)[0] => [[292, 191], [292, 191]]
(L, 8)[0] => [[291, 191], [292, 191]]
(L, 8)[0] => [[290, 191], [291, 191]]
(L, 8)[0] => [[289, 191], [290, 191]]
(L, 8)[0] => [[288, 191], [289, 191]]
(L, 8)[0] => [[287, 191], [288, 191]]
(L, 8)[0] => [[286, 191], [287, 191]]
(L, 8)[0] => [[285, 191], [286, 191]]
(R, 8)[0] => [[286, 191], [286, 191]]
(R, 8)[0] => [[287, 191], [286, 191]]
